cduid,csdname,csduid,pop
3547,"Greater Madawaska (TP), Ontario",3547008,2715
3515,"North Kawartha (TP), Ontario",3515037,2590
3549,"Perry (TP), Ontario",3549014,2623
3556,"Black River-Matheson (TP), Ontario",3556014,2551
3547,"Killaloe, Hagarty and Richards (TP), Ontario",3547033,2589
3538,"Brooke-Alvinston (MU), Ontario",3538015,2391
3546,"Algonquin Highlands (TP), Ontario",3546018,2508
3511,"Addington Highlands (TP), Ontario",3511035,2343
3549,"Parry Sound, Unorganized, Centre Part (NO), Ontario",3549096,2325
3512,"Madoc (TP), Ontario",3512036,2234
3560,"Pikangikum 14 (IRI), Ontario",3560077,2164
3551,"Central Manitoulin (MU), Ontario",3551006,2166
3558,"Neebing (MU), Ontario",3558001,2127
3560,"Sandy Lake 88 (IRI), Ontario",3560071,2201
3538,"Point Edward (VL), Ontario",3538031,2038
3548,"Bonfield (TP), Ontario",3548027,2043
3548,"Mattawa (T), Ontario",3548021,1967
3552,"Chapleau (TP), Ontario",3552092,2017
3538,"Dawn-Euphemia (TP), Ontario",3538007,2122
3558,"Manitouwadge (TP), Ontario",3558066,2007
3510,"North Frontenac (TP), Ontario",3510045,2004
3512,"Deseronto (T), Ontario",3512002,1979
3548,"Nipissing, Unorganized, North Part (NO), Ontario",3548094,1739
3510,"Frontenac Islands (TP), Ontario",3510005,1932
3549,"Nipissing (TP), Ontario",3549071,1556
3501,"Akwesasne (Part) 59 (IRI), Ontario",3501007,1769
3557,"Huron Shores (MU), Ontario",3557035,1748
3558,"Nipigon (TP), Ontario",3558044,1644
3558,"Terrace Bay (TP), Ontario",3558054,1563
3557,"Macdonald, Meredith and Aberdeen Additional (TP), Ontario",3557051,1773
3548,"Nipissing 10 (IRI), Ontario",3548073,1727
3538,"Walpole Island 46 (IRI), Ontario",3538004,1629
3556,"Factory Island 1 (IRI), Ontario",3556094,1608
3560,"Attawapiskat 91A (IRI), Ontario",3560051,1457
3547,"Brudenell, Lyndoch and Raglan (TP), Ontario",3547020,1507
3556,"Moosonee (TV), Ontario",3556106,1523
3554,"Englehart (T), Ontario",3554052,1365
3549,"Strong (TP), Ontario",3549046,1617
3560,"Fort Albany (Part) 67 (IRI), Ontario",3560050,1480
3549,"Armour (TP), Ontario",3549019,1454
3512,"Faraday (TP), Ontario",3512058,1523
3549,"Magnetawan (MU), Ontario",3549043,1446
3559,"Rainy River, Unorganized (NO), Ontario",3559090,1382
3559,"Emo (TP), Ontario",3559019,1468
3556,"Smooth Rock Falls (T), Ontario",3556048,1308
3548,"Chisholm (TP), Ontario",3548031,1292
3552,"St.-Charles (MU), Ontario",3552004,1212
3557,"Thessalon (T), Ontario",3557028,1257
3556,"Moonbeam (TP), Ontario",3556056,1215
3557,"St. Joseph (TP), Ontario",3557008,1355
3560,"Ignace (TP), Ontario",3560001,1201
3539,"Oneida 41 (IRI), Ontario",3539021,1319
3554,"Armstrong (TP), Ontario",3554036,1193
3557,"Sagamok (IRI), Ontario",3557071,1207
3554,"Cobalt (T), Ontario",3554008,1169
3557,"Garden River 14 (IRI), Ontario",3557074,1190
3549,"Carling (TP), Ontario",3549036,1183
3549,"South River (VL), Ontario",3549056,1238
3549,"McKellar (TP), Ontario",3549028,1203
3548,"South Algonquin (TP), Ontario",3548001,1122
3558,"Schreiber (TP), Ontario",3558051,998
3515,"Curve Lake First Nation 35 (IRI), Ontario",3515019,1091
3541,"Saugeen 29 (IRI), Ontario",3541057,1122
3557,"Laird (TP), Ontario",3557011,1003
3560,"Kitchenuhmaykoosib Aaki 84 (Big Trout Lake) (IRI), Ontario",3560075,1120
3548,"Papineau-Cameron (TP), Ontario",3548013,985
3560,"Fort Hope 64 (IRI), Ontario",3560053,1088
3557,"Prince (TP), Ontario",3557066,1043
3551,"Assiginack (TP), Ontario",3551011,952
3538,"Kettle Point 44 (IRI), Ontario",3538056,1056
3560,"Ear Falls (TP), Ontario",3560032,961
3557,"Hornepayne (TP), Ontario",3557096,984
3558,"Fort William 52 (IRI), Ontario",3558003,981
3560,"Lac Seul 28 (IRI), Ontario",3560056,1025
3549,"Burk's Falls (VL), Ontario",3549022,1054
3559,"Alberton (TP), Ontario",3559011,991
3560,"Machin (MU), Ontario",3560021,976
3549,"Sundridge (VL), Ontario",3549048,951
3559,"La Vallee (TP), Ontario",3559016,932
3549,"Whitestone (MU), Ontario",3549039,971
3528,"Six Nations (Part) 40 (IRI), Ontario",3528037,981
3558,"Red Rock (TP), Ontario",3558041,915
3560,"Weagamow Lake 87 (IRI), Ontario",3560059,1025
3551,"M'Chigeeng 22 (West Bay 22) (IRI), Ontario",3551045,923
3543,"Mnjikaning First Nation 32 (IRI), Ontario",3543050,861
3549,"Kearney (T), Ontario",3549018,970
3549,"Machar (TP), Ontario",3549054,849
3560,"Deer Lake (IRI), Ontario",3560070,954
3512,"Carlow/Mayo (TP), Ontario",3512065,1021
3551,"Gore Bay (T), Ontario",3551026,826
3560,"Kasabonika Lake (IRI), Ontario",3560096,893
3560,"Wabaseemoong (IRI), Ontario",3560061,869
3549,"McMurrich/Monteith (TP), Ontario",3549012,840
3559,"Couchiching 16A (IRI), Ontario",3559063,873
3558,"Conmee (TP), Ontario",3558019,899
3559,"Rainy River (T), Ontario",3559042,818
3548,"Temagami (MU), Ontario",3548069,832
3560,"Webequie (IRI), Ontario",3560079,839
3556,"Val Rita-Harty (TP), Ontario",3556070,762
3556,"Fort Albany (Part) 67 (IRI), Ontario",3556093,777
3557,"Johnson (TP), Ontario",3557016,773
3539,"Chippewas of the Thames First Nation 42 (IRI), Ontario",3539017,816
3554,"Larder Lake (TP), Ontario",3554062,746
3557,"Spanish (T), Ontario",3557039,733
3554,"Charlton and Dack (MU), Ontario",3554044,673
3512,"Wollaston (TP), Ontario",3512054,664
3558,"O'Connor (TP), Ontario",3558016,606
3557,"Plummer Additional (TP), Ontario",3557019,739
3557,"White River (TP), Ontario",3557091,660
3549,"Ryerson (TP), Ontario",3549024,726
3559,"Chapple (TP), Ontario",3559024,670
3556,"Mattice-Val Côté (TP), Ontario",3556077,630
3560,"English River 21 (IRI), Ontario",3560058,635
3538,"Oil Springs (VL), Ontario",3538018,635
3538,"Sarnia 45 (IRI), Ontario",3538025,667
3543,"Christian Island 30 (IRI), Ontario",3543069,624
3557,"Rankin Location 15D (IRI), Ontario",3557075,639
3557,"Dubreuilville (TP), Ontario",3557079,609
3529,"New Credit (Part) 40A (IRI), Ontario",3529021,654
3541,"Neyaashiinigmiing 27 (IRI), Ontario",3541060,655
3554,"McGarry (TP), Ontario",3554058,609
3551,"Billings (TP), Ontario",3551021,678
3552,"Baldwin (TP), Ontario",3552028,615
3560,"Wunnumin 1 (IRI), Ontario",3560085,666
3554,"Coleman (TP), Ontario",3554001,626
3556,"Constance Lake 92 (IRI), Ontario",3556095,646
3507,"Westport (VL), Ontario",3507033,610
3512,"Tudor and Cashel (TP), Ontario",3512048,547
3560,"Whitefish Bay 32A (IRI), Ontario",3560004,605
3557,"Bruce Mines (T), Ontario",3557021,641
3560,"Cat Lake 63C (IRI), Ontario",3560054,705
3560,"Sioux Narrows-Nestor Falls (TP), Ontario",3560008,590
3554,"Harley (TP), Ontario",3554026,553
3557,"Tarbutt and Tarbutt Additional (TP), Ontario",3557014,521
3554,"Harris (TP), Ontario",3554014,532
3556,"Fauquier-Strickland (TP), Ontario",3556052,540
3549,"The Archipelago (TP), Ontario",3549005,523
3560,"Sachigo Lake 1 (IRI), Ontario",3560076,588
3560,"Kingfisher Lake 1 (IRI), Ontario",3560098,538
3548,"Calvin (MU), Ontario",3548022,537
3554,"Hudson (TP), Ontario",3554021,510
3514,"Alderville First Nation (IRI), Ontario",3514027,485
3557,"The North Shore (TP), Ontario",3557040,507
3551,"Gordon/Barrie Island (MU), Ontario",3551027,488
3559,"Morley (TP), Ontario",3559031,505
3560,"Poplar Hill (IRI), Ontario",3560067,498
3558,"Gillies (TP), Ontario",3558012,491
3539,"Newbury (VL), Ontario",3539002,413
3559,"Dawson (TP), Ontario",3559040,467
3551,"Whitefish River (Part) 4 (IRI), Ontario",3551040,471
3554,"Evanturel (TP), Ontario",3554049,514
3560,"Wapekeka 2 (IRI), Ontario",3560088,471
3558,"Pic River 50 (IRI), Ontario",3558062,460
3547,"Pikwakanagan (Golden Lake 39) (IRI), Ontario",3547037,424
3560,"Osnaburgh 63B (IRI), Ontario",3560055,508
3551,"Tehkummah (TP), Ontario",3551001,447
3560,"Kee-Way-Win (IRI), Ontario",3560104,446
3560,"Kenora 38B (IRI), Ontario",3560066,444
3554,"James (TP), Ontario",3554042,376
3557,"Mississagi River 8 (IRI), Ontario",3557073,426
3536,"Moravian 47 (IRI), Ontario",3536029,425
3560,"Shoal Lake (Part) 39A (IRI), Ontario",3560068,412
3558,"Long Lake 58 (IRI), Ontario",3558068,468
3560,"Pickle Lake (TP), Ontario",3560049,419
3552,"Whitefish Lake 6 (IRI), Ontario",3552051,421
3560,"Summer Beaver (S-É), Ontario",3560086,401
3552,"Killarney (MU), Ontario",3552036,364
3551,"Sucker Creek 23 (IRI), Ontario",3551041,386
3560,"Sabaskong Bay 35D (IRI), Ontario",3560063,358
3558,"Aroland 83 (IRI), Ontario",3558076,383
3554,"Casey (TP), Ontario",3554029,379
3557,"Serpent River 7 (IRI), Ontario",3557072,386
3515,"Hiawatha First Nation (IRI), Ontario",3515008,407
3560,"Fort Severn 89 (IRI), Ontario",3560078,377
3554,"Kerns (TP), Ontario",3554024,340
3560,"Bearskin Lake (IRI), Ontario",3560095,374
3549,"Dokis 9 (IRI), Ontario",3549077,364
3512,"Limerick (TP), Ontario",3512051,386
3551,"Burpee and Mills (TP), Ontario",3551028,376
3552,"Nairn and Hyman (TP), Ontario",3552031,376
3554,"Chamberlain (TP), Ontario",3554054,343
3558,"Whitesand (IRI), Ontario",3558097,395
3549,"Parry Island First Nation (IRI), Ontario",3549073,337
3558,"Dorion (TP), Ontario",3558034,327
3554,"Latchford (T), Ontario",3554006,319
3557,"Jocelyn (TP), Ontario",3557001,330
3557,"Hilton (TP), Ontario",3557004,316
3549,"Joly (TP), Ontario",3549051,318
3558,"Lake Helen 53A (IRI), Ontario",3558064,354
3560,"North Spirit Lake (IRI), Ontario",3560080,307
3559,"Manitou Rapids 11 (IRI), Ontario",3559026,265
3560,"Muskrat Dam Lake (IRI), Ontario",3560097,296
3559,"Seine River 23A (IRI), Ontario",3559066,262
3519,"Chippewas of Georgina Island First Nation (IRI), Ontario",3519076,264
3560,"Marten Falls 65 (IRI), Ontario",3560052,265
3558,"Gull River 55 (IRI), Ontario",3558065,258
3547,"Head, Clara and Maria (TP), Ontario",3547098,272
3560,"Neskantaga (IRI), Ontario",3560093,250
3559,"Big Grassy River 35G (IRI), Ontario",3559051,242
3537,"Pelee (TP), Ontario",3537001,252
3558,"Osnaburgh 63A (IRI), Ontario",3558085,243
3559,"Lake of the Woods (TP), Ontario",3559047,232
3554,"Matachewan (TP), Ontario",3554056,229
3556,"Opasatika (TP), Ontario",3556073,228
3560,"Eagle Lake 27 (IRI), Ontario",3560024,234
3544,"Wahta Mohawk Territory (IRI), Ontario",3544071,233
3559,"Rainy Lake 17A (IRI), Ontario",3559068,217
3558,"Ginoogaming First Nation (IRI), Ontario",3558067,220
3544,"Moose Point 79 (IRI), Ontario",3544073,227
3554,"Hilliard (TP), Ontario",3554034,212
3558,"Pic Mobert North (IRI), Ontario",3558060,208
3549,"Shawanaga 17 (IRI), Ontario",3549072,205
3560,"Peawanuck (S-É), Ontario",3560091,205
3560,"The Dalles 38C (IRI), Ontario",3560089,204
3552,"Mattagami 71 (IRI), Ontario",3552052,196
3560,"Slate Falls (S-É), Ontario",3560046,197
3549,"Parry Sound, Unorganized, North East Part (NO), Ontario",3549095,196
3558,"Rocky Bay 1 (IRI), Ontario",3558069,193
3559,"Neguaguon Lake 25D (IRI), Ontario",3559060,182
3557,"Hilton Beach (VL), Ontario",3557006,175
3560,"Wabigoon Lake 27 (IRI), Ontario",3560057,177
3551,"Manitoulin, Unorganized, West Part (NO), Ontario",3551094,171
3548,"Mattawan (TP), Ontario",3548019,167
3559,"Rainy Lake 26A (IRI), Ontario",3559064,160
3539,"Munsee-Delaware Nation 1 (IRI), Ontario",3539018,170
3560,"Shoal Lake 34B2 (IRI), Ontario",3560064,160
3548,"Bear Island 1 (IRI), Ontario",3548072,158
3556,"Abitibi 70 (IRI), Ontario",3556033,149
3560,"Rat Portage 38A (IRI), Ontario",3560069,146
3554,"Gauthier (TP), Ontario",3554066,142
3551,"Sheshegwaning 20 (IRI), Ontario",3551044,142
3528,"New Credit (Part) 40A (IRI), Ontario",3528035,148
3551,"Sheguiandah 24 (IRI), Ontario",3551042,139
3518,"Mississaugas of Scugog Island (IRI), Ontario",3518022,142
3558,"Pic Mobert South (IRI), Ontario",3558061,130
3560,"Whitefish Bay 34A (IRI), Ontario",3560083,130
3554,"Brethour (TP), Ontario",3554032,127
3557,"Thessalon 12 (IRI), Ontario",3557026,128
3549,"French River 13 (IRI), Ontario",3549076,124
3553,"Wahnapitei 11 (IRI), Ontario",3553040,120
3559,"Rainy Lake 18C (IRI), Ontario",3559061,118
3554,"Thornloe (VL), Ontario",3554038,115
3548,"Nipissing, Unorganized, South Part (NO), Ontario",3548091,106
3549,"Magnetewan 1 (IRI), Ontario",3549078,106
3559,"Saug-a-Gaw-Sing 1 (IRI), Ontario",3559053,100
3560,"Whitefish Bay 33A (IRI), Ontario",3560005,101
3556,"New Post 69A (IRI), Ontario",3556102,96
3557,"Goulais Bay 15A (IRI), Ontario",3557077,99
3560,"Northwest Angle 33B (IRI), Ontario",3560060,100
3558,"Ojibway Nation of Saugeen (Savant Lake) (IRI), Ontario",3558080,93
3558,"Pays Plat 51 (IRI), Ontario",3558063,92
3552,"Duck Lake 76B (IRI), Ontario",3552054,87
3557,"Gros Cap 49 (IRI), Ontario",3557078,80
3560,"Shoal Lake (Part) 40 (IRI), Ontario",3560082,74
3560,"Wabauskang 21 (IRI), Ontario",3560084,73
3560,"Lake Of The Woods 37 (IRI), Ontario",3560065,65
3554,"Matachewan 72 (IRI), Ontario",3554057,63
3551,"Zhiibaahaasing 19A (Cockburn Island 19A) (IRI), Ontario",3551100,57
3543,"Christian Island 30A (IRI), Ontario",3543070,46
3552,"Chapleau 74A (IRI), Ontario",3552053,22
3560,"Wawakapewin (Long Dog Lake) (IRI), Ontario",3560100,22
3556,"Cochrane, Unorganized, South East Part (NO), Ontario",3556098,10
3559,"Big Island Mainland 93 (IRI), Ontario",3559052,10
3549,"Henvey Inlet 2 (IRI), Ontario",3549075,5
3554,"Timiskaming, Unorganized, East Part (NO), Ontario",3554091,5
3559,"Long Sault 12 (IRI), Ontario",3559030,5
3559,"Rainy Lake 17B (IRI), Ontario",3559069,5
3541,"Chief's Point No. 28 (IRI), Ontario",3541056,0
3551,"Cockburn Island (TP), Ontario",3551034,0
3552,"Chapleau 75 (IRI), Ontario",3552058,0
3556,"Cochrane, Unorganized, South West Part (NO), Ontario",3556091,0
3556,"Moose Factory 68 (IRI), Ontario",3556096,0
3556,"Flying Post 73 (IRI), Ontario",3556100,0
3557,"Algoma, Unorganized, South East Part (NO), Ontario",3557094,0
3558,"Lake Nipigon (IRI), Ontario",3558077,0
3558,"Seine River 22A2 (IRI), Ontario",3558095,0
3558,"Lac des Mille Lacs 22A1 (IRI), Ontario",3558100,0
3559,"Sabaskong Bay (Part) 35C (IRI), Ontario",3559048,0
3559,"Agency 1 (IRI), Ontario",3559062,0
3559,"Seine River 23B (IRI), Ontario",3559065,0
3560,"Sabaskong Bay (Part) 35C (IRI), Ontario",3560007,0
3560,"Lansdowne House (S-É), Ontario",3560081,0
3560,"McDowell Lake (S-É), Ontario",3560102,0
